car License Plate,Car Model,Car Color,Car VIN Number,Car Brand
ABC123,Civic,Red,1HGFA16568L000001,Honda
XYZ456,Camry,Blue,4T1BE46K97U514571,Toyota
DEF789,Accord,Silver,1HGCP2F30BA024999,Honda
QWE987,Corolla,Black,2T1BU4EE2DC977845,Toyota
ASD654,Sentra,White,3N1AB7AP9DL515224,Nissan
ZXC321,Focus,Green,1FADP3F29EL499981,Ford
RTY852,Sonata,Gray,5NPEB4AC8BH161806,Hyundai
FGH741,Jetta,Silver,3VWD17AJ2EM377122,Volkswagen
UIO369,Fusion,Blue,3FA6P0HD1ER240662,Ford
JKL963,Optima,Red,5XXGM4A73FG320760,Kia
HHP8586,Z4,White,1HGCR2F3XHA123456,BMW